Id_delta,depart_date_time,arrive_date_time,depart_airport,arrive_airport,flight_number,flight_cost_coach,flight_cost_business
3371,2022-12-26 20:15:00,2022-12-26 00:08:00,Cancun (CUN),Detroit (DTW),DL1911,529.7,1127.11
3372,2023-01-04 03:25:00,2023-01-04 04:54:00,Atlanta (ATL),Melbourne (MLB),DL1580,636.57,3080.19
3373,2023-01-04 00:11:00,2023-01-04 02:12:00,Milwaukee (MKE),Atlanta (ATL),DL2119,285.86,2545.85
3374,2023-01-03 21:10:00,2023-01-03 23:11:00,Atlanta (ATL),Milwaukee (MKE),DL2119,490.17,2250.79
3375,2023-01-03 17:56:00,2023-01-03 19:57:00,Baltimore (BWI),Atlanta (ATL),DL786,477.64,1560.27
3376,2023-01-03 15:10:00,2023-01-03 16:56:00,Atlanta (ATL),Baltimore (BWI),DL786,595.2,1239.79
3377,2023-01-03 11:25:00,2023-01-03 14:05:00,Sioux Falls (FSD),Atlanta (ATL),DL1293,614.71,2706.92
3378,2023-01-03 05:15:00,2023-01-03 06:30:00,Minneapolis (MSP),Sioux Falls (FSD),DL998,618.91,2144.52
3379,2023-01-03 01:26:00,2023-01-03 04:15:00,Houston (IAH),Minneapolis (MSP),DL2820,705.67,3190.89
3380,2023-01-02 21:15:00,2023-01-02 00:26:00,Detroit (DTW),Houston (IAH),DL2412,409.46,3350.25
3381,2023-01-02 17:43:00,2023-01-02 20:15:00,New Orleans (MSY),Detroit (DTW),DL2082,584.45,1779.29
3382,2023-01-02 13:48:00,2023-01-02 16:43:00,Detroit (DTW),New Orleans (MSY),DL2082,704.23,2945.78
3383,2023-01-01 18:00:00,2023-01-01 19:38:00,Baltimore (BWI),Detroit (DTW),DL1331,504.56,3019.7
3384,2023-01-01 15:24:00,2023-01-01 16:57:00,Detroit (DTW),Baltimore (BWI),DL1331,675.2,1230.81
3385,2023-01-01 11:10:00,2023-01-01 12:33:00,Buffalo (BUF),Detroit (DTW),DL2719,278.93,3473.15
3386,2023-01-01 02:20:00,2023-01-01 03:32:00,Detroit (DTW),Buffalo (BUF),DL2717,398.34,3374.7
3387,2022-12-31 17:43:00,2022-12-31 20:15:00,New Orleans (MSY),Detroit (DTW),DL2082,702.63,2858.71
3388,2022-12-31 13:48:00,2022-12-31 16:43:00,Detroit (DTW),New Orleans (MSY),DL2082,266.42,1171.18
3389,2022-12-30 17:40:00,2022-12-30 20:20:00,Dallas (DFW),Detroit (DTW),DL2353,674.14,1421.17
3390,2022-12-30 13:25:00,2022-12-30 16:40:00,Detroit (DTW),Dallas (DFW),DL2353,450.57,2958.93
3391,2022-12-30 10:45:00,2022-12-30 12:23:00,Baltimore (BWI),Detroit (DTW),DL2784,749.1,1665.86
3392,2022-12-30 04:03:00,2022-12-30 05:35:00,Detroit (DTW),Baltimore (BWI),DL2212,358.14,875.01
3393,2022-12-29 23:27:00,2022-12-29 01:14:00,Washington (DCA),Detroit (DTW),DL2995,456.45,1471.9
3394,2022-12-29 20:50:00,2022-12-29 22:27:00,Detroit (DTW),Washington (DCA),DL2995,586.31,3220.53
3395,2022-12-29 17:59:00,2022-12-29 19:39:00,Washington (DCA),Detroit (DTW),DL2623,371.66,3257.83
3396,2022-12-29 15:26:00,2022-12-29 16:59:00,Detroit (DTW),Washington (DCA),DL2623,363.24,2176.2
3397,2022-12-29 11:30:00,2022-12-29 14:26:00,Austin (AUS),Detroit (DTW),DL1748,597.64,2942.19
3398,2022-12-29 01:40:00,2022-12-29 05:10:00,Detroit (DTW),Austin (AUS),DL1586,510.15,3120.74
3399,2022-12-28 19:15:00,2022-12-28 22:06:00,Austin (AUS),Detroit (DTW),DL1121,392.19,2935.88
3400,2022-12-28 15:13:00,2022-12-28 18:15:00,Minneapolis (MSP),Austin (AUS),DL2439,615.5,2564.76
3401,2022-12-28 11:10:00,2022-12-28 14:04:00,Charlotte (CLT),Minneapolis (MSP),DL1207,532.48,1685.49
3402,2022-12-28 01:55:00,2022-12-28 04:23:00,Minneapolis (MSP),Charlotte (CLT),DL2356,494.12,3181.92
3403,2022-12-27 23:30:00,2022-12-27 01:10:00,Chicago (ORD),Minneapolis (MSP),DL2819,693.34,1084.11
3404,2022-12-27 21:27:00,2022-12-27 23:02:00,Minneapolis (MSP),Chicago (ORD),DL542,256.81,1633.63
3405,2022-12-27 16:45:00,2022-12-27 19:34:00,Charlotte (CLT),Minneapolis (MSP),DL2770,396.37,1364.65
3406,2022-12-27 13:25:00,2022-12-27 15:58:00,Minneapolis (MSP),Charlotte (CLT),DL1422,547.57,2479.22
3407,2022-12-27 10:40:00,2022-12-27 13:36:00,Raleigh-Durham (RDU),Minneapolis (MSP),DL2109,719.34,1172.9
3408,2022-12-27 00:59:00,2022-12-27 02:43:00,Tampa (TPA),Raleigh-Durham (RDU),DL1134,371.67,1155.28
3409,2023-01-05 03:55:00,2023-01-05 05:29:00,Atlanta (ATL),Indianapolis (IND),DL1316,346.99,1790.09
3410,2023-01-04 23:58:00,2023-01-04 02:44:00,Windsor Locks (BDL),Atlanta (ATL),DL2044,296.76,2154.01
3411,2023-01-04 20:45:00,2023-01-04 22:58:00,Atlanta (ATL),Windsor Locks (BDL),DL2044,326.17,1564.96
3412,2023-01-04 17:12:00,2023-01-04 19:05:00,Milwaukee (MKE),Atlanta (ATL),DL945,643.28,1253.7
3413,2023-01-04 14:09:00,2023-01-04 16:12:00,Atlanta (ATL),Milwaukee (MKE),DL945,661.94,3412.72
3414,2023-01-04 11:00:00,2023-01-04 13:04:00,Washington (DCA),Atlanta (ATL),DL528,647.02,966.96
3415,2023-01-04 03:20:00,2023-01-04 04:56:00,Atlanta (ATL),Washington (DCA),DL537,272.59,1854.21
3416,2023-01-03 23:59:00,2023-01-03 02:06:00,Washington (DCA),Atlanta (ATL),DL2206,512.71,2020.56
3417,2023-01-03 21:20:00,2023-01-03 22:59:00,Atlanta (ATL),Washington (DCA),DL2206,669.07,3017.37
3418,2023-01-03 17:29:00,2023-01-03 20:10:00,New York (LGA),Atlanta (ATL),DL529,527.54,1616.35
3419,2023-01-03 14:15:00,2023-01-03 16:24:00,Atlanta (ATL),New York (LGA),DL1034,445.63,3236.64
3420,2023-01-03 11:30:00,2023-01-03 13:08:00,St. Louis (STL),Atlanta (ATL),DL1129,418.15,2796.93
3421,2023-01-03 03:59:00,2023-01-03 05:44:00,Atlanta (ATL),St. Louis (STL),DL1140,598.72,2652.65
3422,2023-01-02 23:44:00,2023-01-02 01:45:00,Cleveland (CLE),Atlanta (ATL),DL451,572.73,816.94
3423,2023-01-02 20:59:00,2023-01-02 22:44:00,Atlanta (ATL),Cleveland (CLE),DL451,332.02,1504.47
3424,2023-01-02 19:40:00,2023-01-02 22:19:00,New York (LGA),Atlanta (ATL),DL478,406.3,1226.22
3425,2023-01-02 16:20:00,2023-01-02 18:29:00,Atlanta (ATL),New York (LGA),DL468,587.02,1372.73
3426,2023-01-02 13:00:00,2023-01-02 15:42:00,New York (LGA),Atlanta (ATL),DL506,622.98,2045.41
3427,2023-01-01 21:29:00,2023-01-01 23:13:00,Detroit (DTW),New York (LGA),DL1153,534.12,1257.94
3428,2023-01-01 17:33:00,2023-01-01 20:22:00,Sarasota (SRQ),Detroit (DTW),DL2275,745.76,1960.83
3429,2023-01-01 13:30:00,2023-01-01 16:33:00,Detroit (DTW),Sarasota (SRQ),DL2275,340.03,1583.72
3430,2022-12-31 22:20:00,2022-12-31 00:25:00,Washington (IAD),New York (LGA),DL431,654.75,2694.62
3431,2022-12-31 22:00:00,2022-12-31 00:06:00,New York (LGA),Detroit (DTW),DL1150,404.19,2360.77
3432,2022-12-31 18:45:00,2022-12-31 20:55:00,Atlanta (ATL),New York (LGA),DL431,708.02,1107.54
3433,2022-12-31 17:16:00,2022-12-31 18:30:00,Savannah (SAV),Atlanta (ATL),DL2743,538.5,1431.37
3434,2022-12-31 15:10:00,2022-12-31 16:16:00,Atlanta (ATL),Savannah (SAV),DL2743,422.06,2058.96
3435,2022-12-31 11:15:00,2022-12-31 14:05:00,Syracuse (SYR),Atlanta (ATL),DL2991,480.83,2356.05
3436,2022-12-31 02:51:00,2022-12-31 04:59:00,Atlanta (ATL),Syracuse (SYR),DL1618,472.37,862.35
3437,2022-12-30 22:55:00,2022-12-30 00:57:00,Baltimore (BWI),Atlanta (ATL),DL2050,677.81,1713.8
3438,2022-12-30 20:10:00,2022-12-30 21:54:00,Atlanta (ATL),Baltimore (BWI),DL2050,656.38,2485.26
3439,2022-12-30 16:52:00,2022-12-30 18:59:00,Austin (AUS),Atlanta (ATL),DL2725,527.53,2965.97
3440,2022-12-30 13:20:00,2022-12-30 15:52:00,Atlanta (ATL),Austin (AUS),DL2725,623.96,2296.1
3441,2022-12-30 10:35:00,2022-12-30 11:39:00,Knoxville (TYS),Atlanta (ATL),DL462,256.37,1413.75
3442,2022-12-30 03:55:00,2022-12-30 04:50:00,Atlanta (ATL),Knoxville (TYS),DL1270,515.91,2433.82
3443,2022-12-29 23:58:00,2022-12-29 02:44:00,Windsor Locks (BDL),Atlanta (ATL),DL2044,604.28,1983.99
3444,2022-12-29 20:45:00,2022-12-29 22:58:00,Atlanta (ATL),Windsor Locks (BDL),DL2044,699.4,1532.36
3445,2022-12-29 17:53:00,2022-12-29 19:47:00,Chicago (MDW),Atlanta (ATL),DL2291,331.51,992.82
3446,2022-12-29 14:58:00,2022-12-29 16:53:00,Atlanta (ATL),Chicago (MDW),DL2291,253.43,1493.36
3447,2022-12-29 00:59:00,2022-12-29 03:42:00,New York (LGA),Atlanta (ATL),DL2168,499.24,1838.77
3448,2022-12-28 21:40:00,2022-12-28 23:54:00,Atlanta (ATL),New York (LGA),DL571,439.04,3080.57
3449,2022-12-28 18:40:00,2022-12-28 20:22:00,Sarasota (SRQ),Atlanta (ATL),DL1703,640.7,2012.6
3450,2022-12-28 16:08:00,2022-12-28 17:40:00,Atlanta (ATL),Sarasota (SRQ),DL1703,390.56,1033.73
3451,2022-12-28 13:00:00,2022-12-28 15:03:00,Washington (DCA),Atlanta (ATL),DL1522,425.4,3432.95
3452,2022-12-28 00:55:00,2022-12-28 02:34:00,Atlanta (ATL),Washington (DCA),DL349,569.08,2912.62
3453,2022-12-27 21:35:00,2022-12-27 22:44:00,Nashville (BNA),Atlanta (ATL),DL1592,667.15,826.92
3454,2022-12-27 19:31:00,2022-12-27 20:35:00,Atlanta (ATL),Nashville (BNA),DL1592,745.76,2218.34
3455,2022-12-27 17:12:00,2022-12-27 19:05:00,Milwaukee (MKE),Atlanta (ATL),DL945,557.36,1463.02
3456,2022-12-27 14:09:00,2022-12-27 16:12:00,Atlanta (ATL),Milwaukee (MKE),DL945,296.17,1790.07
3457,2022-12-27 11:00:00,2022-12-27 13:04:00,Washington (DCA),Atlanta (ATL),DL528,316.16,1900.17
3458,2022-12-27 02:09:00,2022-12-27 04:38:00,Minneapolis (MSP),Washington (DCA),DL2884,337.84,2681.31
3459,2022-12-26 22:12:00,2022-12-26 01:04:00,Spokane (GEG),Minneapolis (MSP),DL1395,434.49,2532.69
3460,2023-01-05 04:00:00,2023-01-05 05:36:00,Atlanta (ATL),Pittsburgh (PIT),DL2689,408.89,968.69
3461,2023-01-04 23:54:00,2023-01-04 02:50:00,Albuquerque (ABQ),Atlanta (ATL),DL2728,328.98,1935.78
3462,2023-01-04 19:21:00,2023-01-04 22:43:00,Atlanta (ATL),Albuquerque (ABQ),DL2728,262.65,1939.8
3463,2023-01-04 16:31:00,2023-01-04 18:05:00,Raleigh-Durham (RDU),Atlanta (ATL),DL2836,347.18,2380.36
3464,2023-01-04 14:00:00,2023-01-04 15:21:00,Atlanta (ATL),Raleigh-Durham (RDU),DL2836,573,3040.09
3465,2023-01-04 01:15:00,2023-01-04 04:26:00,Boston (BOS),Atlanta (ATL),DL2530,560.49,1269.88
3466,2023-01-03 21:18:00,2023-01-03 23:49:00,Atlanta (ATL),Boston (BOS),DL1214,491.14,2545.61
3467,2023-01-03 18:15:00,2023-01-03 20:08:00,West Palm Beach (PBI),Atlanta (ATL),DL2314,458.98,913.5
3468,2023-01-03 15:12:00,2023-01-03 17:05:00,Atlanta (ATL),West Palm Beach (PBI),DL2314,488.78,1038.64
3469,2023-01-03 12:00:00,2023-01-03 14:02:00,Milwaukee (MKE),Atlanta (ATL),DL2723,635.12,2845.11
3470,2023-01-03 03:57:00,2023-01-03 05:59:00,Atlanta (ATL),Milwaukee (MKE),DL1680,274.31,1504.43
3471,2023-01-02 23:40:00,2023-01-02 02:47:00,Boston (BOS),Atlanta (ATL),DL1433,646.91,3143.36
3472,2023-01-02 19:58:00,2023-01-02 22:30:00,Atlanta (ATL),Boston (BOS),DL787,472.37,1836.32
3473,2023-01-02 16:10:00,2023-01-02 18:46:00,Minneapolis (MSP),Atlanta (ATL),DL2452,332.71,2948.73
3474,2023-01-02 12:15:00,2023-01-02 15:00:00,Atlanta (ATL),Minneapolis (MSP),DL503,660.92,1199.21
3475,2023-01-02 00:35:00,2023-01-02 04:15:00,Salt Lake City (SLC),Atlanta (ATL),DL1217,654.89,2281.31
3476,2023-01-01 19:10:00,2023-01-01 23:25:00,Atlanta (ATL),Salt Lake City (SLC),DL2599,270.47,3041.77
3477,2023-01-01 16:07:00,2023-01-01 18:00:00,West Palm Beach (PBI),Atlanta (ATL),DL1379,272.07,2323.74
3478,2023-01-01 13:10:00,2023-01-01 14:57:00,Atlanta (ATL),West Palm Beach (PBI),DL1379,654.84,2193.78
3479,2022-12-31 22:15:00,2022-12-31 00:12:00,West Palm Beach (PBI),Atlanta (ATL),DL2417,576.25,1515.59
3480,2022-12-31 19:05:00,2022-12-31 20:48:00,Atlanta (ATL),West Palm Beach (PBI),DL2417,689.05,1866.31
3481,2022-12-31 16:08:00,2022-12-31 17:50:00,Sarasota (SRQ),Atlanta (ATL),DL2141,584.72,1382.23
3482,2022-12-31 13:25:00,2022-12-31 14:58:00,Atlanta (ATL),Sarasota (SRQ),DL2141,679.9,2384.71
3483,2022-12-31 07:58:00,2022-12-31 10:50:00,Denver (DEN),Atlanta (ATL),DL527,672.2,3257.41
3484,2022-12-31 03:55:00,2022-12-31 06:11:00,Minneapolis (MSP),Denver (DEN),DL2761,283.06,2356.08
3485,2022-12-30 23:20:00,2022-12-30 02:35:00,New York (LGA),Minneapolis (MSP),DL687,298.35,779.86
3486,2022-12-30 19:34:00,2022-12-30 22:10:00,Orlando (MCO),New York (LGA),DL2817,517.08,1983.94
3487,2022-12-30 14:00:00,2022-12-30 18:22:00,Salt Lake City (SLC),Orlando (MCO),DL2821,393.35,1746.75
3488,2022-12-30 03:15:00,2022-12-30 04:40:00,Las Vegas (LAS),Salt Lake City (SLC),DL918,388.4,3054.38
3489,2022-12-30 00:50:00,2022-12-30 02:14:00,Salt Lake City (SLC),Las Vegas (LAS),DL918,625.21,1850.43
3490,2022-12-29 22:50:00,2022-12-29 02:58:00,Detroit (DTW),Salt Lake City (SLC),DL1223,371.44,856.82
3491,2022-12-29 18:30:00,2022-12-29 21:40:00,Miami (MIA),Detroit (DTW),DL1321,613.94,2823.35
3492,2022-12-29 14:03:00,2022-12-29 17:20:00,Detroit (DTW),Miami (MIA),DL1321,345.06,883.44
3493,2022-12-29 10:30:00,2022-12-29 12:53:00,Boston (BOS),Detroit (DTW),DL826,637.3,2204.21
3494,2022-12-29 03:25:00,2022-12-29 05:56:00,Atlanta (ATL),Boston (BOS),DL411,680.33,2330.84
3495,2022-12-29 00:31:00,2022-12-29 02:29:00,Norfolk (ORF),Atlanta (ATL),DL2570,727.38,1984.74
3496,2022-12-28 21:52:00,2022-12-28 23:21:00,Atlanta (ATL),Norfolk (ORF),DL2570,504.72,1731.39
3497,2022-12-28 18:36:00,2022-12-28 20:39:00,Dallas (DFW),Atlanta (ATL),DL2868,712.37,2672.09
3498,2022-12-28 14:55:00,2022-12-28 17:26:00,Atlanta (ATL),Dallas (DFW),DL2868,394.02,1291.42
3499,2022-12-28 01:15:00,2022-12-28 04:26:00,Boston (BOS),Atlanta (ATL),DL2530,345.84,3420.98
3500,2022-12-27 21:18:00,2022-12-27 00:05:00,Minneapolis (MSP),Boston (BOS),DL832,412.62,2453.79
3501,2022-12-27 16:38:00,2022-12-27 20:08:00,Tampa (TPA),Minneapolis (MSP),DL2829,487.25,1542.48
3502,2022-12-27 12:05:00,2022-12-27 15:28:00,Minneapolis (MSP),Tampa (TPA),DL2829,285.12,1452.25
3503,2022-12-27 01:07:00,2022-12-27 04:12:00,Las Vegas (LAS),Minneapolis (MSP),DL2067,441.49,2083.11
3504,2023-01-04 23:20:00,2023-01-04 01:33:00,Atlanta (ATL),Houston (IAH),DL1052,604.27,1513.15
3505,2023-01-04 18:45:00,2023-01-04 20:07:00,Memphis (MEM),Atlanta (ATL),DL82,334.57,1488.96
3506,2023-01-04 16:21:00,2023-01-04 17:45:00,Atlanta (ATL),Memphis (MEM),DL1346,334.33,2214.83
3507,2023-01-04 13:10:00,2023-01-04 15:14:00,Kansas City (MCI),Atlanta (ATL),DL1345,294.28,3217.34
3508,2023-01-04 00:36:00,2023-01-04 02:46:00,Atlanta (ATL),Kansas City (MCI),DL2701,431.74,1321.06
3509,2023-01-03 21:41:00,2023-01-03 23:36:00,Washington (IAD),Atlanta (ATL),DL2568,726.71,3065.8
3510,2023-01-03 19:02:00,2023-01-03 20:41:00,Atlanta (ATL),Washington (IAD),DL2568,376.93,2716.8
3511,2023-01-03 16:09:00,2023-01-03 18:02:00,Cleveland (CLE),Atlanta (ATL),DL1355,597.5,1304.61
3512,2023-01-03 13:25:00,2023-01-03 15:09:00,Atlanta (ATL),Cleveland (CLE),DL1355,446.43,1838.74
3513,2023-01-03 11:15:00,2023-01-03 12:10:00,Chattanooga (CHA),Atlanta (ATL),DL382,582.31,3207.05
3514,2023-01-03 03:49:00,2023-01-03 04:33:00,Atlanta (ATL),Chattanooga (CHA),DL2011,430.85,3019.69
3515,2023-01-03 01:35:00,2023-01-03 02:44:00,Nashville (BNA),Atlanta (ATL),DL360,462.69,2317.58
3516,2023-01-02 23:31:00,2023-01-02 00:35:00,Atlanta (ATL),Nashville (BNA),DL360,569.75,2231.64
3517,2023-01-02 19:05:00,2023-01-02 21:07:00,Key West (EYW),Atlanta (ATL),DL377,749.75,2912.58
3518,2023-01-02 16:16:00,2023-01-02 18:05:00,Atlanta (ATL),Key West (EYW),DL377,343.15,1484.46
3519,2023-01-02 13:50:00,2023-01-02 15:01:00,Nashville (BNA),Atlanta (ATL),DL2008,267.44,2157.51
3520,2023-01-02 01:55:00,2023-01-02 03:01:00,Atlanta (ATL),Nashville (BNA),DL2646,303.29,2214.9
3521,2023-01-01 20:04:00,2023-01-01 22:44:00,Monterrey (MTY),Atlanta (ATL),DL1866,463.84,1178.52
3522,2023-01-01 15:33:00,2023-01-01 18:44:00,Atlanta (ATL),Monterrey (MTY),DL1929,393.43,1487.66
3523,2023-01-01 11:25:00,2023-01-01 14:05:00,Sioux Falls (FSD),Atlanta (ATL),DL1293,448.71,1304.16
3524,2023-01-01 03:50:00,2023-01-01 04:58:00,Minneapolis (MSP),Sioux Falls (FSD),DL2665,732.69,2545.6
3525,2022-12-31 20:55:00,2022-12-31 23:32:00,Kalispell (FCA),Minneapolis (MSP),DL2721,695.95,957.87
3526,2022-12-31 16:45:00,2022-12-31 19:54:00,Minneapolis (MSP),Kalispell (FCA),DL2721,390.56,1369.58
3527,2022-12-31 12:00:00,2022-12-31 15:27:00,New York (JFK),Minneapolis (MSP),DL557,546.59,3261.79
3528,2022-12-31 00:45:00,2022-12-31 03:30:00,Tampa (TPA),New York (JFK),DL1605,436.61,2071.15
3529,2022-12-30 20:26:00,2022-12-30 23:44:00,New York (JFK),Tampa (TPA),DL1605,563.9,1171.2
3530,2022-12-30 16:45:00,2022-12-30 19:26:00,Tampa (TPA),New York (JFK),DL1131,309.97,3288.62
3531,2022-12-30 13:50:00,2022-12-30 15:45:00,Raleigh-Durham (RDU),Tampa (TPA),DL2818,618.37,2814.3
3532,2022-12-30 01:51:00,2022-12-30 04:25:00,Minneapolis (MSP),Raleigh-Durham (RDU),DL387,502.2,3220.5
3533,2022-12-29 20:55:00,2022-12-29 00:33:00,Santa Ana (SNA),Minneapolis (MSP),DL1138,715.66,1136.32
3534,2022-12-29 15:19:00,2022-12-29 19:37:00,Minneapolis (MSP),Santa Ana (SNA),DL1138,704.24,910.49
3535,2022-12-29 12:00:00,2022-12-29 14:16:00,Nashville (BNA),Minneapolis (MSP),DL1493,275.53,1825.74
3536,2022-12-29 04:45:00,2022-12-29 05:48:00,Atlanta (ATL),Nashville (BNA),DL2433,534.56,1458.21
3537,2022-12-29 00:40:00,2022-12-29 02:44:00,Baltimore (BWI),Atlanta (ATL),DL2535,638.32,1854.21
3538,2022-12-28 21:56:00,2022-12-28 23:40:00,Atlanta (ATL),Baltimore (BWI),DL2535,263.9,2541.21
3539,2022-12-28 19:05:00,2022-12-28 21:07:00,Key West (EYW),Atlanta (ATL),DL377,362.04,1530.85
3540,2022-12-28 16:16:00,2022-12-28 18:05:00,Atlanta (ATL),Key West (EYW),DL377,647.03,2135.1
3541,2022-12-28 13:10:00,2022-12-28 15:14:00,Kansas City (MCI),Atlanta (ATL),DL1345,278.33,2486.94
3542,2022-12-28 00:36:00,2022-12-28 02:46:00,Atlanta (ATL),Kansas City (MCI),DL2701,608.96,945.01
3543,2022-12-27 11:44:00,2022-12-27 14:05:00,Cedar Rapids (CID),Atlanta (ATL),DL2639,439.58,2250.8
3544,2022-12-27 01:45:00,2022-12-27 03:54:00,Atlanta (ATL),Cedar Rapids (CID),DL2897,551.13,781.12
3545,2023-01-05 00:36:00,2023-01-05 04:45:00,Minneapolis (MSP),San Jose (SJC),DL2803,299.61,2942.23
3546,2023-01-04 21:25:00,2023-01-04 23:23:00,Detroit (DTW),Minneapolis (MSP),DL1509,292.64,2325.55
3547,2023-01-04 17:14:00,2023-01-04 19:36:00,Jacksonville (JAX),Detroit (DTW),DL2467,353.77,2668.98
3548,2023-01-04 13:52:00,2023-01-04 16:14:00,Detroit (DTW),Jacksonville (JAX),DL2467,579.48,1300.75
3549,2023-01-04 11:05:00,2023-01-04 12:47:00,Washington (DCA),Detroit (DTW),DL2885,422.11,2330.83
3550,2023-01-04 00:55:00,2023-01-04 02:34:00,Atlanta (ATL),Washington (DCA),DL349,371.11,3343.98
3551,2023-01-03 21:59:00,2023-01-03 23:37:00,Sarasota (SRQ),Atlanta (ATL),DL2436,378.24,1057.78
3552,2023-01-03 19:31:00,2023-01-03 20:59:00,Atlanta (ATL),Sarasota (SRQ),DL2436,558.24,970.46
3553,2023-01-03 15:29:00,2023-01-03 18:17:00,New York (LGA),Atlanta (ATL),DL433,403.6,887.64
3554,2023-01-03 12:15:00,2023-01-03 14:24:00,Atlanta (ATL),New York (LGA),DL1399,316.5,910.51
3555,2023-01-03 00:59:00,2023-01-03 03:42:00,New York (LGA),Atlanta (ATL),DL2168,272.07,1855.65
3556,2023-01-02 21:40:00,2023-01-02 23:54:00,Atlanta (ATL),New York (LGA),DL571,664.03,1285.24
3557,2023-01-02 17:29:00,2023-01-02 20:10:00,New York (LGA),Atlanta (ATL),DL529,448.16,2711.87
3558,2023-01-02 14:15:00,2023-01-02 16:24:00,Atlanta (ATL),New York (LGA),DL1034,604.3,1778.52
3559,2023-01-02 11:00:00,2023-01-02 14:03:00,Albany (ALB),Atlanta (ATL),DL1253,635.12,2067.06
3560,2023-01-02 02:45:00,2023-01-02 04:58:00,Atlanta (ATL),Albany (ALB),DL2225,627.1,2274.12
3561,2023-01-01 22:00:00,2023-01-01 00:41:00,New York (LGA),Atlanta (ATL),DL414,714.19,2335.24
3562,2023-01-01 16:48:00,2023-01-01 19:24:00,Tampa (TPA),New York (LGA),DL2357,570.59,2134.65
3563,2023-01-01 12:10:00,2023-01-01 15:48:00,Boston (BOS),Tampa (TPA),DL1573,463.14,1303.2
3564,2022-12-31 21:55:00,2022-12-31 01:15:00,New Orleans (MSY),Boston (BOS),DL1090,478.27,1364.59
3565,2022-12-31 16:35:00,2022-12-31 20:42:00,Boston (BOS),New Orleans (MSY),DL1090,285.59,1904.45
3566,2022-12-31 12:25:00,2022-12-31 15:28:00,Tampa (TPA),Boston (BOS),DL1226,388.42,2134.73
3567,2022-12-30 23:10:00,2022-12-30 02:41:00,Boston (BOS),Tampa (TPA),DL1269,505.84,948.49
3568,2022-12-30 19:00:00,2022-12-30 22:01:00,Tampa (TPA),Boston (BOS),DL2649,341.94,2747.13
3569,2022-12-30 12:30:00,2022-12-30 15:38:00,New York (LGA),Tampa (TPA),DL2072,531.32,2532.66
3570,2022-12-29 23:35:00,2022-12-29 01:48:00,Atlanta (ATL),New York (LGA),DL788,512.8,2052.83
3571,2022-12-29 19:50:00,2022-12-29 21:50:00,Washington (DCA),Atlanta (ATL),DL418,298.62,3149.8
3572,2022-12-29 17:09:00,2022-12-29 18:50:00,Atlanta (ATL),Washington (DCA),DL418,283.05,1340.2
3573,2022-12-29 14:00:00,2022-12-29 16:03:00,Washington (DCA),Atlanta (ATL),DL560,689.05,1583.7
3574,2022-12-28 23:14:00,2022-12-28 00:55:00,Atlanta (ATL),Washington (DCA),DL1158,337.41,961.82
3575,2022-12-28 16:52:00,2022-12-28 18:59:00,Austin (AUS),Atlanta (ATL),DL2725,680.33,1590.96
3576,2022-12-28 13:20:00,2022-12-28 15:52:00,Atlanta (ATL),Austin (AUS),DL2725,613.95,1906.84
3577,2022-12-28 11:00:00,2022-12-28 12:15:00,Gainesville (GNV),Atlanta (ATL),DL2678,514.78,3086.65
3578,2022-12-28 04:05:00,2022-12-28 05:11:00,Atlanta (ATL),Gainesville (GNV),DL1332,377.34,1033.7
3579,2022-12-28 00:37:00,2022-12-28 02:50:00,San Antonio (SAT),Atlanta (ATL),DL536,733.29,3246.2
3580,2022-12-27 21:00:00,2022-12-27 23:37:00,Atlanta (ATL),San Antonio (SAT),DL536,594.72,972.19
3581,2022-12-27 18:05:00,2022-12-27 20:02:00,Washington (DCA),Atlanta (ATL),DL306,405.89,2916.43
3582,2022-12-27 15:22:00,2022-12-27 17:03:00,Atlanta (ATL),Washington (DCA),DL306,446.43,2759.68
3583,2022-12-27 11:15:00,2022-12-27 14:05:00,Syracuse (SYR),Atlanta (ATL),DL2991,254,951.6
3584,2022-12-27 02:51:00,2022-12-27 04:59:00,Atlanta (ATL),Syracuse (SYR),DL1618,598.65,2122.01
3585,2022-12-26 23:44:00,2022-12-26 01:45:00,Cleveland (CLE),Atlanta (ATL),DL451,336.58,2735.38
3586,2023-01-05 00:50:00,2023-01-05 04:15:00,Minneapolis (MSP),Tampa (TPA),DL332,532.13,1549.01
3587,2023-01-04 19:51:00,2023-01-04 23:28:00,San Diego (SAN),Minneapolis (MSP),DL2762,486.78,3379.06
3588,2023-01-04 13:30:00,2023-01-04 18:41:00,Detroit (DTW),San Diego (SAN),DL934,320.7,2141.73
3589,2023-01-04 11:00:00,2023-01-04 12:16:00,Indianapolis (IND),Detroit (DTW),DL2307,412.86,3423.59
3590,2023-01-04 04:18:00,2023-01-04 05:29:00,Detroit (DTW),Indianapolis (IND),DL2406,634.55,2026.18
3591,2023-01-03 22:20:00,2023-01-03 01:01:00,Denver (DEN),Detroit (DTW),DL1282,267.45,3415.44
3592,2023-01-03 17:47:00,2023-01-03 21:08:00,Detroit (DTW),Denver (DEN),DL1206,584.71,883.52
3593,2023-01-03 13:00:00,2023-01-03 16:37:00,Salt Lake City (SLC),Detroit (DTW),DL1329,478.3,1093.31
3594,2023-01-03 03:14:00,2023-01-03 07:30:00,Atlanta (ATL),Salt Lake City (SLC),DL476,592.63,1274.39
3595,2023-01-02 23:59:00,2023-01-02 02:01:00,Dallas (DFW),Atlanta (ATL),DL32,335.59,2541.2
