Id_delta	depart_date_time	arrive_date_time	depart_airport	arrive_airport	flight_number	flight_cost_coach	flight_cost_business	flight_cost_first	org_dest_code
2626	2022-12-31 15:05:00	2022-12-31 16:20:00	Chicago (MDW)	St. Louis (STL)	WN2194	173.98	2232.76	3820.37	MDW_STL
2627	2022-12-31 11:15:00	2022-12-31 14:05:00	Orlando (MCO)	Chicago (MDW)	WN2194	686.5	1273.85	6831.57	
2628	2022-12-31 03:50:00	2022-12-31 06:10:00	Dallas (DAL)	Orlando (MCO)	WN2930	223.63	3151.9	8180.05	DAL_MCO
2629	2022-12-31 01:00:00	2022-12-31 03:05:00	Nashville (BNA)	Dallas (DAL)	WN2093	873.87	3562.48	3806.93	
2630	2022-12-30 21:00:00	2022-12-30 23:45:00	New York (LGA)	Nashville (BNA)	WN364	349.18	3744.5	3618.5	
2631	2022-12-30 18:15:00	2022-12-30 20:25:00	Nashville (BNA)	New York (LGA)	WN711	828.19	2385.91	2879.95	
2632	2022-12-30 14:50:00	2022-12-30 17:30:00	New York (LGA)	Nashville (BNA)	WN353	938.62	1046.28	8156.57	
2633	2022-12-30 12:00:00	2022-12-30 14:05:00	Chicago (MDW)	New York (LGA)	WN3046	589.61	2173.36	5701.72	MDW_LGA
2634	2022-12-29 14:50:00	2022-12-29 18:05:00	Phoenix (PHX)	Chicago (MDW)	WN1053	1087.04	2429.84	6623.84	
2635	2022-12-29 03:50:00	2022-12-29 06:15:00	Denver (DEN)	San Diego (SAN)	WN594	607.04	2524.64	6320.67	DEN_SAN
2636	2022-12-28 23:25:00	2022-12-28 03:30:00	Chicago (ORD)	Phoenix (PHX)	WN4910	784.89	1069.21	5776.9	ORD_PHX
2637	2022-12-28 23:00:00	2022-12-28 03:05:00	Tampa (TPA)	Denver (DEN)	WN594	1134.65	1999.82	5459.76	
2638	2022-12-28 20:05:00	2022-12-28 22:20:00	Dallas (DAL)	Tampa (TPA)	WN3689	733.98	3198.02	2815.6	DAL_TPA
2639	2022-12-28 19:20:00	2022-12-28 21:45:00	Dallas (DAL)	Chicago (ORD)	WN3278	485.24	3131.27	2574.31	DAL_ORD
2640	2022-12-28 17:15:00	2022-12-28 19:25:00	Nashville (BNA)	Dallas (DAL)	WN287	593.14	1272.26	4679.28	
2641	2022-12-28 15:45:00	2022-12-28 16:45:00	Austin (AUS)	Dallas (DAL)	WN1698	1077.1	2788.78	4507.94	AUS_DAL
2642	2022-12-28 14:55:00	2022-12-28 16:40:00	Dallas (DAL)	Nashville (BNA)	WN1081	168.27	1244.53	2542.47	DAL_BNA
2643	2022-12-27 10:40:00	2022-12-27 11:45:00	Pittsburgh (PIT)	Baltimore (BWI)	WN2845	652.36	1853.51	7538.12	
2644	2023-01-05 01:45:00	2023-01-05 03:10:00	Reno (RNO)	Long Beach (LGB)	WN3647	236.62	1448.11	3574.65	
2645	2023-01-04 23:50:00	2023-01-04 01:10:00	Burbank (BUR)	Reno (RNO)	WN1991	993.59	2440.3	7467.43	BUR_RNO
2646	2023-01-04 22:05:00	2023-01-04 23:15:00	San Jose (SJC)	Burbank (BUR)	WN2230	645.93	4112.76	4786.72	
2647	2023-01-04 20:00:00	2023-01-04 21:25:00	San Diego (SAN)	San Jose (SJC)	WN1959	799.95	3726.78	4494.24	
2648	2023-01-04 18:00:00	2023-01-04 19:20:00	San Jose (SJC)	San Diego (SAN)	WN2695	565.62	3337.01	7596.4	
2649	2023-01-04 16:00:00	2023-01-04 17:25:00	San Diego (SAN)	San Jose (SJC)	WN620	594.88	3952.42	4452.68	
2650	2023-01-04 12:15:00	2023-01-04 15:25:00	Austin (AUS)	San Diego (SAN)	WN620	556.78	814.52	5298.12	AUS_SAN
2651	2023-01-03 04:05:00	2023-01-03 06:15:00	Houston (HOU)	Albuquerque (ABQ)	WN1929	778	2209.13	8425.56	HOU_ABQ
2652	2023-01-03 01:55:00	2023-01-03 03:20:00	Jackson (JAN)	Houston (HOU)	WN1929	487.41	3584.97	5677.71	JAN_HOU
2653	2023-01-02 22:40:00	2023-01-02 01:20:00	Baltimore (BWI)	Jackson (JAN)	WN1929	377.34	1870.47	4743.61	BWI_JAN
2654	2023-01-02 21:15:00	2023-01-02 23:35:00	Baltimore (BWI)	Orlando (MCO)	WN170	886.63	3368.65	5498.06	BWI_MCO
2655	2023-01-02 16:35:00	2023-01-02 18:10:00	Boston (BOS)	Baltimore (BWI)	WN1821	477.16	857.69	4109.77	BOS_BWI
2656	2023-01-02 13:45:00	2023-01-02 16:00:00	Chicago (MDW)	Boston (BOS)	WN3152	889.39	971.38	3557.06	MDW_BOS
2657	2023-01-02 11:00:00	2023-01-02 13:05:00	Washington (DCA)	Chicago (MDW)	WN1702	493.34	3213.47	4001.41	
2658	2023-01-02 02:25:00	2023-01-02 04:05:00	Atlanta (ATL)	Washington (DCA)	WN2358	438.16	2823.32	7971.46	ATL_DCA
2659	2023-01-02 00:35:00	2023-01-02 01:50:00	Memphis (MEM)	Atlanta (ATL)	WN2358	392.75	3271.75	6745.5	
2660	2023-01-01 22:30:00	2023-01-01 23:55:00	Houston (HOU)	Memphis (MEM)	WN2358	330.33	2419.07	5624.59	HOU_MEM
2661	2023-01-01 19:35:00	2023-01-01 21:50:00	Nashville (BNA)	Houston (HOU)	WN1893	404.85	4088.35	7052.57	
2662	2023-01-01 16:55:00	2023-01-01 18:55:00	Norfolk (ORF)	Nashville (BNA)	WN1893	211.5	3954.69	4956.29	
2663	2023-01-01 15:10:00	2023-01-01 16:10:00	Baltimore (BWI)	Norfolk (ORF)	WN1893	1110.91	822.9	3965.74	BWI_ORF
2664	2023-01-01 12:35:00	2023-01-01 14:25:00	Chicago (MDW)	Baltimore (BWI)	WN1893	1098.85	2813.78	7974.09	MDW_BWI
2665	2023-01-01 10:40:00	2023-01-01 12:00:00	Louisville (SDF)	Chicago (MDW)	WN1893	188.88	2203.14	6233.97	
2666	2023-01-01 00:25:00	2023-01-01 02:30:00	Orlando (MCO)	Louisville (SDF)	WN2114	1044.92	2136.95	5844.26	
2667	2022-12-31 20:55:00	2022-12-31 23:35:00	Chicago (ORD)	Orlando (MCO)	WN818	704.14	3790.65	6576.36	ORD_MCO
2668	2022-12-31 16:35:00	2022-12-31 20:15:00	Las Vegas (LAS)	Chicago (ORD)	WN818	435.69	1931.85	8435.31	LAS_ORD
2669	2022-12-31 13:00:00	2022-12-31 16:05:00	Tulsa (TUL)	Las Vegas (LAS)	WN113	897.6	2354.4	6411.09	
2670	2022-12-31 04:20:00	2022-12-31 05:50:00	Denver (DEN)	Tulsa (TUL)	WN804	626.53	1989.55	4861.38	DEN_TUL
2671	2022-12-31 01:10:00	2022-12-31 03:30:00	Santa Ana (SNA)	Denver (DEN)	WN2765	221.67	3953.61	5353.84	
2672	2022-12-30 23:20:00	2022-12-30 00:35:00	San Jose (SJC)	Santa Ana (SNA)	WN2765	754.36	2175.75	5930.46	
2673	2022-12-30 21:20:00	2022-12-30 22:40:00	Santa Ana (SNA)	San Jose (SJC)	WN1477	449.86	904.01	4653.93	
2674	2022-12-30 19:30:00	2022-12-30 20:45:00	Las Vegas (LAS)	Santa Ana (SNA)	WN1477	351.95	3271.57	3530.78	
2675	2022-12-30 15:50:00	2022-12-30 18:50:00	Omaha (OMA)	Las Vegas (LAS)	WN1477	551.86	795.98	6290.43	
2676	2022-12-30 12:40:00	2022-12-30 15:15:00	Atlanta (ATL)	Omaha (OMA)	WN1477	1102.6	1661.01	3400.89	ATL_OMA
2677	2022-12-28 22:30:00	2022-12-28 00:20:00	Chicago (MDW)	Atlanta (ATL)	WN2884	216.14	3777.81	4494.07	MDW_ATL
2678	2022-12-28 20:40:00	2022-12-28 21:45:00	St. Louis (STL)	Chicago (MDW)	WN2884	666.27	2327.24	3354.24	
2679	2022-12-28 18:45:00	2022-12-28 19:55:00	Chicago (MDW)	St. Louis (STL)	WN3410	545.89	3483.33	5257.66	MDW_STL
2680	2022-12-28 16:45:00	2022-12-28 18:00:00	Columbus (CMH)	Chicago (MDW)	WN3410	702.59	2851.08	6371.18	CMH_MDW
2681	2023-01-04 22:15:00	2023-01-04 00:30:00	Spokane (GEG)	Las Vegas (LAS)	WN1713	591.24	1233.97	7311.55	
2682	2023-01-04 19:15:00	2023-01-04 21:40:00	Las Vegas (LAS)	Spokane (GEG)	WN1329	972.83	1877.78	6868.37	
2683	2023-01-04 17:05:00	2023-01-04 18:25:00	Tucson (TUS)	Las Vegas (LAS)	WN1329	1017.53	1722.28	3327.38	
2684	2023-01-04 02:45:00	2023-01-04 04:05:00	Dallas (DAL)	New Orleans (MSY)	WN2285	350.99	4124.21	3868.92	DAL_MSY
2685	2023-01-04 00:55:00	2023-01-04 02:10:00	Midland (MAF)	Dallas (DAL)	WN2285	708.93	2565.07	2991.07	
2686	2023-01-03 22:20:00	2023-01-03 00:25:00	Las Vegas (LAS)	Midland (MAF)	WN2285	444.28	1620.62	5069.97	LAS_MAF
2687	2023-01-03 20:25:00	2023-01-03 21:40:00	San Diego (SAN)	Las Vegas (LAS)	WN2285	705.41	2962.07	6098.31	
2688	2023-01-03 18:15:00	2023-01-03 19:45:00	San Francisco (SFO)	San Diego (SAN)	WN2285	323.01	4156.7	8309.7	
2689	2023-01-03 15:10:00	2023-01-03 17:20:00	Phoenix (PHX)	San Francisco (SFO)	WN1446	265.89	3445.38	6961.01	
2690	2023-01-03 13:00:00	2023-01-03 14:35:00	Los Angeles (LAX)	Phoenix (PHX)	WN3085	841.96	1514.06	2797.6	
2691	2023-01-03 05:30:00	2023-01-03 06:55:00	Reno (RNO)	Los Angeles (LAX)	WN820	1182.61	2619.3	2674	
2692	2023-01-03 03:55:00	2023-01-03 04:55:00	Oakland (OAK)	Reno (RNO)	WN964	1143.41	2958.25	3152.23	
2693	2023-01-03 01:20:00	2023-01-03 03:05:00	Boise (BOI)	Oakland (OAK)	WN977	799.74	2718.91	2662.65	BOI_OAK
2694	2023-01-02 23:05:00	2023-01-02 00:40:00	Oakland (OAK)	Boise (BOI)	WN1939	1138.01	1576.75	7273.5	
2695	2023-01-02 20:30:00	2023-01-02 22:00:00	Santa Ana (SNA)	Oakland (OAK)	WN3548	986.62	2098.51	5784.97	
2696	2023-01-02 15:10:00	2023-01-02 19:55:00	Chicago (MDW)	Santa Ana (SNA)	WN3548	897.73	1576.74	3774.92	MDW_SNA
2697	2023-01-02 12:20:00	2023-01-02 14:30:00	Baltimore (BWI)	Chicago (MDW)	WN3548	688.23	3842.71	8462.86	BWI_MDW
2698	2023-01-02 10:00:00	2023-01-02 11:20:00	Cleveland (CLE)	Baltimore (BWI)	WN576	603.74	3431.12	7833.47	CLE_BWI
2699	2023-01-02 03:30:00	2023-01-02 04:50:00	Baltimore (BWI)	Cleveland (CLE)	WN302	215.63	2151.77	5344.47	BWI_CLE
2700	2023-01-02 00:30:00	2023-01-02 02:35:00	Orlando (MCO)	Baltimore (BWI)	WN302	971.3	2204.48	8448.39	
2701	2023-01-01 20:55:00	2023-01-01 23:20:00	Baltimore (BWI)	Orlando (MCO)	WN1581	1025.64	3286.83	6705.12	BWI_MCO
2702	2023-01-01 17:50:00	2023-01-01 20:15:00	Fort Myers (RSW)	Baltimore (BWI)	WN2737	759.04	1321.63	7676.33	RSW_BWI
2703	2023-01-01 14:25:00	2023-01-01 17:15:00	Chicago (MDW)	Fort Myers (RSW)	WN404	866	2352.22	4666.78	MDW_RSW
2704	2022-12-31 23:45:00	2022-12-31 02:30:00	Orlando (MCO)	Chicago (MDW)	WN208	330.81	1885.78	5744.5	
2705	2022-12-31 20:30:00	2022-12-31 22:55:00	Dallas (DAL)	Orlando (MCO)	WN3162	421.94	3455.69	2940.53	DAL_MCO
2706	2022-12-31 15:55:00	2022-12-31 19:45:00	Seattle (SEA)	Dallas (DAL)	WN3162	639.09	3746.75	6241.12	
2707	2022-12-31 12:00:00	2022-12-31 15:10:00	Phoenix (PHX)	Seattle (SEA)	WN3445	1008.1	3901.9	7464.56	
2708	2022-12-31 02:40:00	2022-12-31 05:40:00	Kansas City (MCI)	Phoenix (PHX)	WN2193	475.54	3587.41	5801.92	MCI_PHX
2709	2022-12-31 00:20:00	2022-12-31 02:05:00	Austin (AUS)	Kansas City (MCI)	WN541	563.92	1568.82	3665.04	AUS_MCI
2710	2022-12-30 21:30:00	2022-12-30 23:35:00	Denver (DEN)	Austin (AUS)	WN614	1018.37	2881.17	7388.66	DEN_AUS
2711	2022-12-30 18:30:00	2022-12-30 20:50:00	Santa Ana (SNA)	Denver (DEN)	WN614	641.49	1967.77	6548.57	
2712	2022-12-30 16:20:00	2022-12-30 17:40:00	Phoenix (PHX)	Santa Ana (SNA)	WN1029	1044.73	1719.46	8140.81	
2713	2022-12-29 21:55:00	2022-12-29 00:35:00	Puerto Vallarta (PVR)	Phoenix (PHX)	WN1299	828.37	3359.88	5824.13	
2714	2022-12-29 18:10:00	2022-12-29 21:00:00	Santa Ana (SNA)	Puerto Vallarta (PVR)	WN763	161.02	2770.22	8043.52	
2715	2022-12-29 05:35:00	2022-12-29 06:50:00	Phoenix (PHX)	Ontario (ONT)	WN262	755.2	2815.73	7739.98	
2716	2022-12-29 04:35:00	2022-12-29 05:40:00	Las Vegas (LAS)	Santa Ana (SNA)	WN3375	173.45	2698.1	2674.65	
2717	2022-12-28 22:30:00	2022-12-28 01:00:00	Denver (DEN)	Santa Ana (SNA)	WN938	947.97	3122.75	2687.33	DEN_SNA
2718	2022-12-28 20:55:00	2022-12-28 22:10:00	Sacramento (SMF)	Burbank (BUR)	WN282	310.22	2286.47	4403.77	
2719	2022-12-28 19:10:00	2022-12-28 21:50:00	Milwaukee (MKE)	Denver (DEN)	WN938	1116.46	2567.67	4941.21	
2720	2022-12-28 18:55:00	2022-12-28 20:15:00	Long Beach (LGB)	Sacramento (SMF)	WN3107	227.6	2718.11	3393.46	
2721	2022-12-28 18:15:00	2022-12-28 19:30:00	Montrose (MTJ)	Denver (DEN)	WN1517	731.02	3471.08	6656.92	
2722	2022-12-28 13:45:00	2022-12-28 15:35:00	El Paso (ELP)	Denver (DEN)	WN3751	1072.81	1631.42	5013.58	ELP_DEN
2723	2022-12-28 12:50:00	2022-12-28 15:00:00	Des Moines (DSM)	Denver (DEN)	WN3107	1033.38	1116.17	5945.71	DSM_DEN
2724	2022-12-28 02:10:00	2022-12-28 03:30:00	Milwaukee (MKE)	St. Louis (STL)	WN3212	286.37	2864.82	6480.98	
2725	2022-12-27 22:50:00	2022-12-27 00:15:00	Burbank (BUR)	Sacramento (SMF)	WN2385	1139.1	2579.3	8373.77	BUR_SMF
2726	2022-12-27 22:45:00	2022-12-27 01:35:00	Tampa (TPA)	Milwaukee (MKE)	WN3212	591.2	4136.65	3354.44	
2727	2022-12-27 14:45:00	2022-12-27 17:00:00	Tampa (TPA)	Washington (DCA)	WN3259	500.77	893.73	4944.84	
2728	2023-01-05 03:05:00	2023-01-05 05:20:00	Chicago (MDW)	New Orleans (MSY)	WN1221	1198.87	3907.35	6748.51	MDW_MSY
2729	2023-01-04 23:35:00	2023-01-04 01:45:00	Washington (DCA)	Chicago (MDW)	WN2675	322.29	2342.35	5996.1	
2730	2023-01-04 20:45:00	2023-01-04 23:00:00	Tampa (TPA)	Washington (DCA)	WN2675	540.89	2596.22	3203.88	
2731	2023-01-04 17:35:00	2023-01-04 19:50:00	San Antonio (SAT)	Tampa (TPA)	WN2675	754.21	730.55	4852.38	
2732	2023-01-04 14:30:00	2023-01-04 17:00:00	Las Vegas (LAS)	San Antonio (SAT)	WN2675	911.14	2412.15	6603.3	LAS_SAT
2733	2023-01-04 03:55:00	2023-01-04 05:25:00	Oakland (OAK)	Las Vegas (LAS)	WN309	466.84	3566.27	3021.89	
2734	2023-01-03 23:10:00	2023-01-03 03:05:00	Dallas (DAL)	Oakland (OAK)	WN309	805.59	1992.67	3794.49	DAL_OAK
2735	2023-01-03 18:55:00	2023-01-03 22:25:00	Washington (DCA)	Dallas (DAL)	WN309	342.89	2540.82	7462.6	
2736	2023-01-03 16:05:00	2023-01-03 17:45:00	Chicago (MDW)	Washington (DCA)	WN2645	243.56	824.5	3971.72	MDW_DCA
2737	2023-01-03 12:50:00	2023-01-03 15:25:00	San Antonio (SAT)	Chicago (MDW)	WN2645	1100.12	3377.24	7516.98	
2738	2023-01-03 02:55:00	2023-01-03 05:25:00	Las Vegas (LAS)	San Antonio (SAT)	WN1415	703.45	1011.7	7150.81	LAS_SAT
2739	2023-01-02 23:05:00	2023-01-02 02:10:00	Dallas (DAL)	Las Vegas (LAS)	WN1295	390.28	977.12	8009.49	DAL_LAS
2740	2023-01-02 19:40:00	2023-01-02 22:20:00	Las Vegas (LAS)	Dallas (DAL)	WN1123	1072.25	1860.29	3564.24	LAS_DAL
2741	2023-01-02 17:40:00	2023-01-02 18:50:00	Los Angeles (LAX)	Las Vegas (LAS)	WN1123	1152.54	3219.35	4331.9	
2742	2023-01-02 15:45:00	2023-01-02 16:55:00	Las Vegas (LAS)	Los Angeles (LAX)	WN516	199.12	3652.18	7050.81	LAS_LAX
2743	2023-01-02 12:05:00	2023-01-02 15:00:00	San Antonio (SAT)	Las Vegas (LAS)	WN516	975.98	2522.77	2701.99	
2744	2023-01-02 03:00:00	2023-01-02 06:50:00	Baltimore (BWI)	San Antonio (SAT)	WN2646	559.88	3787.46	6458.78	BWI_SAT
2745	2023-01-01 23:35:00	2023-01-01 01:55:00	Sarasota (SRQ)	Baltimore (BWI)	WN655	718.26	1331.28	7922.1	
2746	2023-01-01 20:35:00	2023-01-01 22:50:00	Dallas (DAL)	Sarasota (SRQ)	WN655	550.62	3881.89	5681.78	DAL_SRQ
2747	2023-01-01 16:25:00	2023-01-01 19:45:00	San Jose (SJC)	Dallas (DAL)	WN3503	601.31	2074.49	8118.59	
2748	2023-01-01 11:45:00	2023-01-01 15:35:00	Austin (AUS)	San Jose (SJC)	WN169	1077.09	2848.07	6387.99	AUS_SJC
2749	2023-01-01 02:05:00	2023-01-01 04:20:00	Phoenix (PHX)	Austin (AUS)	WN985	1132.4	1696.18	5723.58	
2750	2022-12-31 23:50:00	2022-12-31 01:10:00	Long Beach (LGB)	Phoenix (PHX)	WN985	485.28	1542.45	7438.44	
2751	2022-12-31 22:05:00	2022-12-31 23:15:00	Las Vegas (LAS)	Long Beach (LGB)	WN2037	467.68	943.08	3801.44	LAS_LGB
2752	2022-12-31 17:05:00	2022-12-31 21:25:00	Chicago (ORD)	Las Vegas (LAS)	WN2037	186.84	888.46	5623.61	ORD_LAS
2753	2022-12-31 13:50:00	2022-12-31 16:20:00	Denver (DEN)	Chicago (ORD)	WN431	306.11	1733.49	3510.12	DEN_ORD
2754	2022-12-31 06:10:00	2022-12-31 08:30:00	Los Angeles (LAX)	Denver (DEN)	WN4895	967.15	3369.18	3391.21	
2755	2022-12-31 01:45:00	2022-12-31 05:10:00	Dallas (DAL)	Los Angeles (LAX)	WN4808	242.42	3188.23	3650.47	DAL_LAX
2756	2022-12-30 22:25:00	2022-12-30 01:00:00	Chicago (ORD)	Dallas (DAL)	WN4808	723.36	2320.17	6893.14	ORD_DAL
2757	2022-12-30 19:20:00	2022-12-30 21:45:00	Dallas (DAL)	Chicago (ORD)	WN3278	871.96	727.45	5950.77	DAL_ORD
2758	2022-12-30 19:19:00	2022-12-30 20:57:00	Dallas (DAL)	Chicago (ORD)	WN9005	273.88	2410.72	3909.73	DAL_ORD
2759	2022-12-30 16:05:00	2022-12-30 17:55:00	Pensacola (PNS)	Dallas (DAL)	WN972	286.67	4006.53	7194.75	
2760	2022-12-30 14:00:00	2022-12-30 15:25:00	Nashville (BNA)	Pensacola (PNS)	WN972	571.11	3895.5	7279.65	
2761	2022-12-30 13:15:00	2022-12-30 14:35:00	Tucson (TUS)	Las Vegas (LAS)	WN2657	839.45	2076.01	4437.26	
2762	2022-12-30 11:30:00	2022-12-30 13:05:00	Columbus (CMH)	Nashville (BNA)	WN137	295.47	3914.45	7088.48	CMH_BNA
2763	2022-12-29 21:35:00	2022-12-29 01:25:00	Las Vegas (LAS)	Columbus (CMH)	WN4100	526.4	4095.49	3198.17	LAS_CMH
2764	2022-12-29 19:50:00	2022-12-29 20:55:00	Burbank (BUR)	Las Vegas (LAS)	WN4100	792.1	1998.14	7213.95	BUR_LAS
2765	2022-12-29 18:00:00	2022-12-29 19:10:00	Las Vegas (LAS)	Burbank (BUR)	WN3184	844.56	2269.37	2747.76	LAS_BUR
2766	2022-12-29 04:55:00	2022-12-29 07:50:00	Austin (AUS)	Las Vegas (LAS)	WN2841	751.87	1362.4	3256.58	AUS_LAS
2767	2022-12-29 03:20:00	2022-12-29 04:20:00	Dallas (DAL)	Austin (AUS)	WN2841	191.89	1600.86	5945.57	DAL_AUS
2768	2022-12-29 02:30:00	2022-12-29 05:30:00	Austin (AUS)	Las Vegas (LAS)	WN3431	350.73	3966.61	6778.68	AUS_LAS
2769	2022-12-29 02:15:00	2022-12-29 05:40:00	Houston (HOU)	San Diego (SAN)	WN4044	675.27	1480.59	8075.01	HOU_SAN
2770	2022-12-29 01:30:00	2022-12-29 02:45:00	Midland (MAF)	Dallas (DAL)	WN2841	940.21	2767.54	5774.85	
2771	2022-12-28 23:25:00	2022-12-28 00:50:00	Houston (HOU)	Midland (MAF)	WN1507	1137.81	3996.01	2992.03	HOU_MAF
2772	2022-12-28 21:30:00	2022-12-28 23:35:00	Denver (DEN)	Austin (AUS)	WN614	346.89	2387.34	4164.13	DEN_AUS
2773	2022-12-28 17:35:00	2022-12-28 19:10:00	Denver (DEN)	Salt Lake City (SLC)	WN434	658.49	2258.99	3516.34	DEN_SLC
2774	2022-12-28 14:30:00	2022-12-28 17:30:00	San Diego (SAN)	Houston (HOU)	WN4878	888.45	837.13	7701.54	
2775	2022-12-28 12:15:00	2022-12-28 16:55:00	New York (LGA)	Denver (DEN)	WN434	323.82	3188.97	7298.09	
2776	2022-12-28 03:35:00	2022-12-28 05:10:00	Oakland (OAK)	San Diego (SAN)	WN1729	1072.75	1018.09	2534.75	
2777	2022-12-28 01:05:00	2022-12-28 04:25:00	Houston (HOU)	New York (LGA)	WN3489	418.64	1726.8	6315.56	HOU_LGA
2778	2022-12-27 22:30:00	2022-12-27 00:50:00	Sacramento (SMF)	Denver (DEN)	WN1246	217.4	2081.79	6309.95	
2779	2022-12-27 13:45:00	2022-12-27 16:05:00	Nashville (BNA)	Houston (HOU)	WN352	493.9	3752.91	7919.7	
2780	2022-12-27 11:05:00	2022-12-27 12:45:00	Milwaukee (MKE)	Nashville (BNA)	WN352	792.75	1183.55	3379.98	
2781	2023-01-03 21:00:00	2023-01-03 00:05:00	Albany (ALB)	Orlando (MCO)	WN3483	941.47	2895.05	4049.1	ALB_MCO
2782	2023-01-03 18:30:00	2023-01-03 20:20:00	Chicago (MDW)	Albany (ALB)	WN3483	1191.4	2101.52	4169.45	MDW_ALB
2783	2023-01-03 13:20:00	2023-01-03 16:45:00	Las Vegas (LAS)	Chicago (MDW)	WN2636	697.92	3003.13	4394	LAS_MDW
2784	2023-01-03 05:35:00	2023-01-03 06:35:00	Phoenix (PHX)	Las Vegas (LAS)	WN2334	771.51	3323.21	7105.79	
2785	2023-01-02 22:35:00	2023-01-02 03:00:00	Columbus (CMH)	Phoenix (PHX)	WN360	1035.54	3492.01	7609.99	CMH_PHX
2786	2023-01-02 19:30:00	2023-01-02 22:00:00	Sarasota (SRQ)	Columbus (CMH)	WN360	1006.27	4014.28	5365.9	
2787	2023-01-02 16:20:00	2023-01-02 18:50:00	Pittsburgh (PIT)	Sarasota (SRQ)	WN3330	245.39	2674.07	7187.54	
2788	2023-01-02 13:25:00	2023-01-02 15:45:00	Tampa (TPA)	Pittsburgh (PIT)	WN922	566.77	3527.04	6512.56	
2789	2023-01-02 11:00:00	2023-01-02 12:50:00	Nashville (BNA)	Tampa (TPA)	WN2868	302.87	3623.76	2800.04	
2790	2023-01-02 03:10:00	2023-01-02 05:05:00	Tampa (TPA)	Nashville (BNA)	WN595	396.95	3760.1	6055.97	
2791	2023-01-02 00:05:00	2023-01-02 02:35:00	Baltimore (BWI)	Tampa (TPA)	WN1813	1126.55	1188.18	3644.21	BWI_TPA
2792	2023-01-01 21:30:00	2023-01-01 23:25:00	St. Louis (STL)	Baltimore (BWI)	WN1813	817.29	2034.56	6417.98	
2793	2023-01-01 19:35:00	2023-01-01 20:50:00	Milwaukee (MKE)	St. Louis (STL)	WN1813	237.14	1763.34	4503.75	
2794	2023-01-01 17:25:00	2023-01-01 19:00:00	Nashville (BNA)	Milwaukee (MKE)	WN1081	220.99	3900.82	4854.98	
2795	2023-01-01 15:05:00	2023-01-01 16:50:00	Dallas (DAL)	Nashville (BNA)	WN1081	467.65	2834.66	2621.7	DAL_BNA
2796	2023-01-01 13:00:00	2023-01-01 14:15:00	Tulsa (TUL)	Dallas (DAL)	WN1081	1187.42	2832.34	3971.34	
2797	2023-01-01 02:10:00	2023-01-01 03:15:00	Dallas (DAL)	Tulsa (TUL)	WN2149	421.74	3702.45	3047.02	DAL_TUL
2798	2022-12-31 22:40:00	2022-12-31 01:10:00	Milwaukee (MKE)	Dallas (DAL)	WN2149	671.91	3274.08	7507.62	
2799	2022-12-31 19:45:00	2022-12-31 22:05:00	Dallas (DAL)	Milwaukee (MKE)	WN3075	864.09	3128.15	7121.31	DAL_MKE
2800	2022-12-31 17:30:00	2022-12-31 19:00:00	Memphis (MEM)	Dallas (DAL)	WN969	209.47	3049.4	6608.16	
2801	2022-12-31 14:25:00	2022-12-31 16:55:00	Baltimore (BWI)	Memphis (MEM)	WN969	1006.94	3272.42	5750.47	BWI_MEM
2802	2022-12-31 12:00:00	2022-12-31 13:50:00	Atlanta (ATL)	Baltimore (BWI)	WN3153	317.9	2207.85	4204.26	ATL_BWI
2803	2022-12-30 23:20:00	2022-12-30 00:30:00	Jacksonville (JAX)	Atlanta (ATL)	WN2776	259.12	3305.92	6815.92	JAX_ATL
2804	2022-12-30 20:10:00	2022-12-30 22:25:00	Chicago (MDW)	Jacksonville (JAX)	WN2776	1084.56	1390.94	7936.57	MDW_JAX
2805	2022-12-30 11:05:00	2022-12-30 12:40:00	Omaha (OMA)	Chicago (MDW)	WN3083	1157.46	3822.02	8123.57	
2806	2023-01-04 03:20:00	2023-01-04 04:40:00	Denver (DEN)	Omaha (OMA)	WN3385	1057.1	2703.6	8189.31	DEN_OMA
2807	2023-01-04 00:15:00	2023-01-04 02:35:00	San Diego (SAN)	Denver (DEN)	WN3385	336.57	3247.83	5172.7	
2808	2023-01-03 22:00:00	2023-01-03 23:25:00	Sacramento (SMF)	San Diego (SAN)	WN3385	226.13	3530.39	5362.6	
2809	2023-01-03 19:30:00	2023-01-03 21:20:00	Spokane (GEG)	Sacramento (SMF)	WN3385	662.8	2067.19	6668.86	
2810	2023-01-03 16:50:00	2023-01-03 18:55:00	Oakland (OAK)	Spokane (GEG)	WN1080	794.89	1022.61	6916.28	
2811	2023-01-03 13:45:00	2023-01-03 16:00:00	Spokane (GEG)	Oakland (OAK)	WN1288	1123.76	1766.89	4014.49	
2812	2023-01-03 04:45:00	2023-01-03 07:05:00	Las Vegas (LAS)	Spokane (GEG)	WN1811	761.99	2722.04	4851.33	
2813	2023-01-03 00:35:00	2023-01-03 02:05:00	Las Vegas (LAS)	San Jose (SJC)	WN5077	761.83	870.4	6217.02	LAS_SJC
2814	2023-01-02 21:10:00	2023-01-02 23:20:00	Amarillo (AMA)	Las Vegas (LAS)	WN1545	200.6	2845.78	8115.19	AMA_LAS
2815	2023-01-02 18:30:00	2023-01-02 20:35:00	Las Vegas (LAS)	Amarillo (AMA)	WN3352	1080.64	1645.87	4665.54	LAS_AMA
