Id_delta	depart_date_time	arrive_date_time	depart_airport	arrive_airport	flight_number	flight_cost_coach	flight_cost_business	flight_cost_first
2743	2022-12-30 20:36:00	2022-12-30 23:49:00	New York (JFK)	Orlando (MCO)	DL2652	439.05	825.6	3229.78
2744	2022-12-30 16:54:00	2022-12-30 19:26:00	Orlando (MCO)	New York (JFK)	DL812	494.1	3248.28	6050.49
2745	2022-12-30 12:37:00	2022-12-30 15:44:00	New York (JFK)	Orlando (MCO)	DL812	327.35	2380.37	8000.03
2746	2022-12-30 06:55:00	2022-12-30 11:22:00	Salt Lake City (SLC)	New York (JFK)	DL399	375.26	1221.78	3652.04
2747	2022-12-30 01:23:00	2022-12-30 05:11:00	New Orleans (MSY)	Salt Lake City (SLC)	DL948	598.71	2414.6	4563.68
2748	2022-12-29 20:57:00	2022-12-29 00:13:00	Salt Lake City (SLC)	New Orleans (MSY)	DL948	327.78	2133.23	5118.55
2749	2022-12-29 16:45:00	2022-12-29 19:47:00	Minneapolis (MSP)	Salt Lake City (SLC)	DL723	324.26	945.63	7969
2750	2022-12-29 12:50:00	2022-12-29 15:20:00	Bozeman (BZN)	Minneapolis (MSP)	DL2344	277.84	2527.41	8673.6
2751	2022-12-29 03:55:00	2022-12-29 06:30:00	Minneapolis (MSP)	Bozeman (BZN)	DL2915	418.35	3411.92	7651.44
2752	2022-12-28 23:20:00	2022-12-28 02:35:00	New York (LGA)	Minneapolis (MSP)	DL687	645.85	2912.57	4587.15
2753	2022-12-28 19:34:00	2022-12-28 22:10:00	Orlando (MCO)	New York (LGA)	DL2817	513.7	1103.04	3740.68
2754	2022-12-28 14:00:00	2022-12-28 18:22:00	Salt Lake City (SLC)	Orlando (MCO)	DL2821	682.07	3282.5	5751.86
2755	2022-12-28 03:25:00	2022-12-28 05:15:00	Los Angeles (LAX)	Salt Lake City (SLC)	DL1024	265.99	2966.66	3698.63
2756	2022-12-28 00:17:00	2022-12-28 02:15:00	Salt Lake City (SLC)	Los Angeles (LAX)	DL978	323.32	2917.75	8518.14
2757	2022-12-27 21:05:00	2022-12-27 23:07:00	San Diego (SAN)	Salt Lake City (SLC)	DL2913	713.62	827.92	9993.36
2758	2022-12-27 17:55:00	2022-12-27 19:55:00	Salt Lake City (SLC)	San Diego (SAN)	DL2913	314.29	1021.3	6320.61
2759	2022-12-27 11:40:00	2022-12-27 16:45:00	Orlando (MCO)	Salt Lake City (SLC)	DL770	382.41	1506.08	5872.13
2760	2022-12-27 00:35:00	2022-12-27 03:54:00	New York (JFK)	Orlando (MCO)	DL1515	679.21	2280.05	4422.38
2761	2023-01-05 00:45:00	2023-01-05 04:03:00	New York (JFK)	Tampa (TPA)	DL2090	380.57	888.75	6230.53
2762	2023-01-04 20:44:00	2023-01-04 23:45:00	Miami (MIA)	New York (JFK)	DL2346	538.59	3267.86	9224.44
2763	2023-01-04 16:21:00	2023-01-04 19:40:00	New York (JFK)	Miami (MIA)	DL2346	659.73	932.8	8173.51
2764	2023-01-04 12:40:00	2023-01-04 15:18:00	Tampa (TPA)	New York (JFK)	DL1635	672.07	2948.72	7934.25
2765	2023-01-04 00:45:00	2023-01-04 04:03:00	New York (JFK)	Tampa (TPA)	DL2090	480.83	2401.04	6992.62
2766	2023-01-03 20:44:00	2023-01-03 23:45:00	Miami (MIA)	New York (JFK)	DL2346	360.76	1086.79	8689.7
2767	2023-01-03 16:21:00	2023-01-03 19:40:00	New York (JFK)	Miami (MIA)	DL2346	486.9	2298.59	7528.82
2768	2023-01-03 12:40:00	2023-01-03 15:18:00	Tampa (TPA)	New York (JFK)	DL1635	251.47	2942.8	9671.15
2769	2023-01-03 00:25:00	2023-01-03 03:47:00	New York (JFK)	Tampa (TPA)	DL2090	484.71	3041.72	9047.71
2770	2023-01-02 20:39:00	2023-01-02 23:25:00	Tampa (TPA)	New York (JFK)	DL2561	323.13	1792.48	4493.2
2771	2023-01-02 16:26:00	2023-01-02 19:39:00	New York (JFK)	Tampa (TPA)	DL2561	258.33	1515.6	9184.96
2772	2023-01-02 12:35:00	2023-01-02 15:23:00	West Palm Beach (PBI)	New York (JFK)	DL1494	382.34	1014.53	7960.82
2773	2023-01-02 00:50:00	2023-01-02 04:15:00	New York (JFK)	West Palm Beach (PBI)	DL2900	678.89	1905.36	9141.4
2774	2023-01-01 20:49:00	2023-01-01 23:45:00	West Palm Beach (PBI)	New York (JFK)	DL2077	408.9	1493.32	4531.93
2775	2023-01-01 16:35:00	2023-01-01 19:48:00	New York (JFK)	West Palm Beach (PBI)	DL1128	735.1	2545.56	8472.22
2776	2023-01-01 12:40:00	2023-01-01 15:18:00	Tampa (TPA)	New York (JFK)	DL1635	276.89	1858.49	7540.51
2777	2022-12-31 23:00:00	2022-12-31 02:16:00	New York (JFK)	Tampa (TPA)	DL2090	515.9	1279.49	6521.41
2778	2022-12-31 16:45:00	2022-12-31 19:26:00	Tampa (TPA)	New York (JFK)	DL1131	362.7	1839.29	7459.38
2779	2022-12-31 13:50:00	2022-12-31 15:45:00	Raleigh-Durham (RDU)	Tampa (TPA)	DL2818	654.89	2862.8	5641.62
2780	2022-12-31 01:51:00	2022-12-31 04:25:00	Minneapolis (MSP)	Raleigh-Durham (RDU)	DL387	277.79	1899.91	5450.84
2781	2022-12-30 22:08:00	2022-12-30 00:51:00	Kalispell (FCA)	Minneapolis (MSP)	DL725	685.52	1295.37	3073.41
2782	2022-12-30 17:59:00	2022-12-30 21:08:00	Minneapolis (MSP)	Kalispell (FCA)	DL725	304.05	2714.6	8001.82
2783	2022-12-30 13:20:00	2022-12-30 16:30:00	Jacksonville (JAX)	Minneapolis (MSP)	DL1436	575.79	1674.81	6766.04
2784	2022-12-30 00:25:00	2022-12-30 03:28:00	Minneapolis (MSP)	Jacksonville (JAX)	DL2731	320.31	2204.51	5525.66
2785	2022-12-29 20:14:00	2022-12-29 23:03:00	New Orleans (MSY)	Minneapolis (MSP)	DL313	254.86	3154.79	4834.58
2786	2022-12-29 16:28:00	2022-12-29 19:14:00	Minneapolis (MSP)	New Orleans (MSY)	DL313	488.78	2914.28	4944.31
2787	2022-12-29 12:30:00	2022-12-29 15:16:00	San Antonio (SAT)	Minneapolis (MSP)	DL2062	275.46	3347.76	3717.85
2788	2022-12-29 00:35:00	2022-12-29 03:39:00	Minneapolis (MSP)	San Antonio (SAT)	DL2515	555.62	1389.67	9731.75
2789	2022-12-28 20:56:00	2022-12-28 23:20:00	Dallas (DFW)	Minneapolis (MSP)	DL504	587.71	2384.71	7054.28
2790	2022-12-28 17:05:00	2022-12-28 19:56:00	Minneapolis (MSP)	Dallas (DFW)	DL504	576.23	793.07	7005.13
2791	2022-12-28 13:20:00	2022-12-28 16:30:00	Jacksonville (JAX)	Minneapolis (MSP)	DL1436	624.84	2351.24	4510.89
2792	2022-12-28 00:25:00	2022-12-28 03:28:00	Minneapolis (MSP)	Jacksonville (JAX)	DL2731	312.11	2121.8	4921.79
2793	2022-12-27 20:14:00	2022-12-27 23:03:00	New Orleans (MSY)	Minneapolis (MSP)	DL313	334.57	2797.08	3992.12
2794	2022-12-27 16:28:00	2022-12-27 19:14:00	Minneapolis (MSP)	New Orleans (MSY)	DL313	282.51	883.2	8433.71
2795	2022-12-27 12:00:00	2022-12-27 15:27:00	New York (JFK)	Minneapolis (MSP)	DL557	294.27	3301.13	6090.6
2796	2022-12-26 20:49:00	2022-12-26 23:45:00	West Palm Beach (PBI)	New York (JFK)	DL2077	498.98	3394.49	3609.93
2797	2023-01-05 03:35:00	2023-01-05 05:58:00	Atlanta (ATL)	Oklahoma City (OKC)	DL1690	371.43	1128.69	5056.61
2798	2023-01-05 00:11:00	2023-01-05 02:13:00	Milwaukee (MKE)	Atlanta (ATL)	DL2119	400.96	1351.13	7201.37
2799	2023-01-04 21:10:00	2023-01-04 23:11:00	Atlanta (ATL)	Milwaukee (MKE)	DL2119	729.24	2453.74	7519.5
2800	2023-01-04 17:55:00	2023-01-04 19:54:00	Norfolk (ORF)	Atlanta (ATL)	DL1434	670.97	2536.78	8345.91
2801	2023-01-04 15:21:00	2023-01-04 16:55:00	Atlanta (ATL)	Norfolk (ORF)	DL1434	726.71	2156.44	9037.06
2802	2023-01-04 12:02:00	2023-01-04 14:00:00	Houston (HOU)	Atlanta (ATL)	DL2808	424.93	1550.62	9362.47
2803	2023-01-04 01:57:00	2023-01-04 04:10:00	Atlanta (ATL)	Houston (HOU)	DL2201	430.86	1972.84	4040.99
2804	2023-01-03 19:15:00	2023-01-03 21:48:00	Rochester (ROC)	Atlanta (ATL)	DL1162	625.52	2859.37	8012.76
2805	2023-01-03 16:05:00	2023-01-03 18:10:00	Atlanta (ATL)	Rochester (ROC)	DL1162	662.44	1028.81	9649.89
2806	2023-01-03 11:21:00	2023-01-03 13:53:00	Rochester (ROC)	Atlanta (ATL)	DL2363	644.27	1606.97	6336.96
2807	2023-01-03 02:50:00	2023-01-03 04:51:00	Atlanta (ATL)	Rochester (ROC)	DL2971	742.15	1773.29	6851.75
2808	2023-01-02 22:55:00	2023-01-02 00:57:00	Baltimore (BWI)	Atlanta (ATL)	DL2050	412.24	1972.93	3211.64
2809	2023-01-02 20:10:00	2023-01-02 21:54:00	Atlanta (ATL)	Baltimore (BWI)	DL2050	418.03	2248.25	8212.07
2810	2023-01-02 17:19:00	2023-01-02 19:16:00	Houston (IAH)	Atlanta (ATL)	DL1454	377.54	2437.82	7441.41
2811	2023-01-02 14:00:00	2023-01-02 16:19:00	Atlanta (ATL)	Houston (IAH)	DL1454	594.9	2105.38	7946.99
2812	2023-01-02 11:00:00	2023-01-02 12:54:00	Washington (IAD)	Atlanta (ATL)	DL1242	309.98	2675.99	5306.35
2813	2023-01-02 03:25:00	2023-01-02 05:03:00	Atlanta (ATL)	Washington (IAD)	DL800	546.13	780.6	3503.51
2814	2023-01-02 01:20:00	2023-01-02 02:20:00	Nashville (BNA)	Atlanta (ATL)	DL8912	320.52	2131.28	3393.96
2815	2023-01-01 23:30:00	2023-01-01 00:45:00	Baton Rouge (BTR)	Nashville (BNA)	DL8912	392.29	2880.5	8006.05
2816	2023-01-01 20:00:00	2023-01-01 21:30:00	Atlanta (ATL)	Baton Rouge (BTR)	DL8912	716.83	2588.67	6731.25
2817	2023-01-01 16:31:00	2023-01-01 18:05:00	Raleigh-Durham (RDU)	Atlanta (ATL)	DL2836	656.62	2356.28	7510.42
2818	2023-01-01 14:00:00	2023-01-01 15:21:00	Atlanta (ATL)	Raleigh-Durham (RDU)	DL2836	715.66	1072.89	8373.44
2819	2022-12-31 21:00:00	2022-12-31 22:14:00	Savannah (SAV)	Atlanta (ATL)	DL2862	486.22	2107.62	7168.2
2820	2022-12-31 18:45:00	2022-12-31 19:46:00	Atlanta (ATL)	Savannah (SAV)	DL2862	609.48	2854.47	6245.84
2821	2022-12-31 15:00:00	2022-12-31 16:58:00	Washington (DCA)	Atlanta (ATL)	DL395	358.29	3129	8509.68
2822	2022-12-31 02:29:00	2022-12-31 03:59:00	Detroit (DTW)	Washington (DCA)	DL2989	490.16	2462.01	5949.68
2823	2022-12-30 22:00:00	2022-12-30 00:06:00	New York (LGA)	Detroit (DTW)	DL1150	375.85	935.38	3622.75
2824	2022-12-30 18:55:00	2022-12-30 20:48:00	Detroit (DTW)	New York (LGA)	DL2827	300.28	2802.91	6992.92
2825	2022-12-30 11:20:00	2022-12-30 13:59:00	Dallas (DFW)	Detroit (DTW)	DL2756	410.88	1717.85	9176.11
2826	2022-12-30 02:55:00	2022-12-30 05:49:00	Los Angeles (LAX)	Dallas (DFW)	DL661	723.54	793.76	5280.19
2827	2022-12-29 23:28:00	2022-12-29 01:48:00	Portland (PDX)	Los Angeles (LAX)	DL2507	443.3	2351.83	3382.31
2828	2022-12-29 19:48:00	2022-12-29 22:28:00	Los Angeles (LAX)	Portland (PDX)	DL2507	570.6	2330.78	7768.69
2829	2022-12-29 17:11:00	2022-12-29 18:30:00	Las Vegas (LAS)	Los Angeles (LAX)	DL2629	726.31	3473.47	8604.51
2830	2022-12-29 15:00:00	2022-12-29 16:11:00	Los Angeles (LAX)	Las Vegas (LAS)	DL2629	543.59	910.54	5740.07
2831	2022-12-29 03:30:00	2022-12-29 04:44:00	Las Vegas (LAS)	Los Angeles (LAX)	DL967	567.6	1444.94	4280.36
2832	2022-12-29 01:15:00	2022-12-29 02:27:00	Los Angeles (LAX)	Las Vegas (LAS)	DL967	354.86	2199.09	5796.4
2833	2022-12-28 19:45:00	2022-12-28 00:10:00	New Orleans (MSY)	Los Angeles (LAX)	DL2498	481.94	1543.56	3443.33
2834	2022-12-28 15:00:00	2022-12-28 18:40:00	Los Angeles (LAX)	New Orleans (MSY)	DL2158	465.37	3462.79	8095.85
2835	2022-12-28 02:43:00	2022-12-28 05:05:00	Portland (PDX)	Los Angeles (LAX)	DL1471	271.21	1037.29	5069.78
2836	2022-12-27 23:10:00	2022-12-27 01:43:00	Los Angeles (LAX)	Portland (PDX)	DL1471	396.09	1031.56	3551.25
2837	2022-12-27 20:34:00	2022-12-27 22:05:00	San Francisco (SFO)	Los Angeles (LAX)	DL1062	678.63	3488.2	9274.49
2838	2022-12-27 18:03:00	2022-12-27 19:34:00	Los Angeles (LAX)	San Francisco (SFO)	DL1062	576.53	2013.1	7754.9
2839	2022-12-27 14:32:00	2022-12-27 16:58:00	Portland (PDX)	Los Angeles (LAX)	DL1533	392.95	3221.85	9736.46
2840	2022-12-27 03:55:00	2022-12-27 06:28:00	Los Angeles (LAX)	Portland (PDX)	DL1645	747.24	1957.27	3014.89
2841	2022-12-27 01:20:00	2022-12-27 02:50:00	San Francisco (SFO)	Los Angeles (LAX)	DL2432	503.81	1148.72	5007.39
2842	2022-12-26 22:55:00	2022-12-26 00:18:00	Los Angeles (LAX)	San Francisco (SFO)	DL2432	448.55	2593.51	6399.3
2843	2023-01-04 22:49:00	2023-01-04 02:00:00	Las Vegas (LAS)	Minneapolis (MSP)	DL1387	392.08	2760.57	5931.22
2844	2023-01-04 17:00:00	2023-01-04 20:39:00	Minneapolis (MSP)	Las Vegas (LAS)	DL718	740.08	2475.61	8419.34
2845	2023-01-04 12:30:00	2023-01-04 15:27:00	Boise (BOI)	Minneapolis (MSP)	DL2105	358.14	2134.73	7921.59
2846	2023-01-04 03:25:00	2023-01-04 06:48:00	Minneapolis (MSP)	Boise (BOI)	DL1572	457.12	1529.15	3480.84
2847	2023-01-03 23:31:00	2023-01-03 02:15:00	Atlanta (ATL)	Minneapolis (MSP)	DL425	260.13	779.86	3274.71
2848	2023-01-03 19:17:00	2023-01-03 22:03:00	Denver (DEN)	Atlanta (ATL)	DL2351	459.13	3247.97	8674.09
2849	2023-01-03 14:40:00	2023-01-03 18:07:00	Atlanta (ATL)	Denver (DEN)	DL2351	469.95	808.59	8158.54
2850	2023-01-03 12:00:00	2023-01-03 13:19:00	Memphis (MEM)	Atlanta (ATL)	DL1648	348.46	3086.61	7159.62
2851	2023-01-03 04:59:00	2023-01-03 06:26:00	Atlanta (ATL)	Memphis (MEM)	DL2583	336.05	1208.21	7260.22
2852	2023-01-03 00:46:00	2023-01-03 03:39:00	Denver (DEN)	Atlanta (ATL)	DL2785	558.24	770.41	8180.45
2853	2023-01-02 21:20:00	2023-01-02 23:36:00	Minneapolis (MSP)	Denver (DEN)	DL2312	643.65	3382.44	5654.85
2854	2023-01-02 16:38:00	2023-01-02 20:08:00	Tampa (TPA)	Minneapolis (MSP)	DL2829	673.22	1588.92	7485.51
2855	2023-01-02 12:05:00	2023-01-02 15:28:00	Minneapolis (MSP)	Tampa (TPA)	DL2829	448.73	1026.55	5104.38
2856	2023-01-01 21:18:00	2023-01-01 01:45:00	Cancun (CUN)	Minneapolis (MSP)	DL1888	586.33	2414.59	8999.53
2857	2023-01-01 16:06:00	2023-01-01 20:18:00	Minneapolis (MSP)	Cancun (CUN)	DL648	406.39	3217.32	4319.82
2858	2023-01-01 11:00:00	2023-01-01 14:20:00	Windsor Locks (BDL)	Minneapolis (MSP)	DL1624	260.13	1546.81	9707.38
2859	2023-01-01 00:40:00	2023-01-01 03:25:00	Minneapolis (MSP)	Windsor Locks (BDL)	DL2149	439.27	2291.38	3215.04
2860	2022-12-31 19:51:00	2022-12-31 23:00:00	Las Vegas (LAS)	Minneapolis (MSP)	DL436	592.19	2576.97	5057.24
2861	2022-12-31 15:00:00	2022-12-31 18:41:00	Minneapolis (MSP)	Las Vegas (LAS)	DL436	363.24	1304.61	9727.86
2862	2022-12-31 11:43:00	2022-12-31 13:50:00	Detroit (DTW)	Minneapolis (MSP)	DL2925	542.3	2619.78	5702.17
2863	2022-12-31 06:05:00	2022-12-31 10:26:00	San Diego (SAN)	Detroit (DTW)	DL785	286.87	1205.61	8940.78
2864	2022-12-31 00:45:00	2022-12-31 04:48:00	Minneapolis (MSP)	San Diego (SAN)	DL2969	562.69	1493.32	7493.87
2865	2022-12-30 19:52:00	2022-12-30 23:30:00	Los Angeles (LAX)	Minneapolis (MSP)	DL1048	362.94	2157.52	7318.38
2866	2022-12-30 13:25:00	2022-12-30 18:42:00	Detroit (DTW)	Los Angeles (LAX)	DL2601	361.8	2088.89	6946.45
2867	2022-12-30 07:55:00	2022-12-30 10:39:00	Denver (DEN)	Detroit (DTW)	DL1040	340.03	1119.15	4003.47
2868	2022-12-30 01:55:00	2022-12-30 05:16:00	Atlanta (ATL)	Denver (DEN)	DL1474	296.73	1908.81	9555.83
2869	2022-12-29 21:05:00	2022-12-29 00:12:00	Montego Bay (MBJ)	Atlanta (ATL)	DL1800	642.82	3394.5	4762.89
2870	2022-12-29 16:45:00	2022-12-29 19:34:00	Atlanta (ATL)	Montego Bay (MBJ)	DL1801	265.27	1958.78	5876.68
2871	2022-12-29 12:45:00	2022-12-29 15:49:00	Denver (DEN)	Atlanta (ATL)	DL1001	338.42	1555.84	8104.59
2872	2022-12-29 03:39:00	2022-12-29 07:03:00	Atlanta (ATL)	Denver (DEN)	DL711	346.9	1640.13	5431.99
2873	2022-12-28 23:40:00	2022-12-28 02:47:00	Boston (BOS)	Atlanta (ATL)	DL1433	478.3	2854.48	8252.89
2874	2022-12-28 19:58:00	2022-12-28 22:30:00	Atlanta (ATL)	Boston (BOS)	DL787	531.32	3366.25	8321.02
2875	2022-12-28 14:00:00	2022-12-28 18:15:00	Los Angeles (LAX)	Atlanta (ATL)	DL672	385.94	2636.54	7699.39
2876	2022-12-27 23:25:00	2022-12-27 04:31:00	Detroit (DTW)	Los Angeles (LAX)	DL2737	688.65	3198.79	8750.44
2877	2022-12-27 18:13:00	2022-12-27 22:05:00	Cancun (CUN)	Detroit (DTW)	DL618	477.65	1136.34	3396.18
2878	2022-12-27 13:15:00	2022-12-27 17:13:00	Detroit (DTW)	Cancun (CUN)	DL619	256.37	2484.63	4307.83
2879	2022-12-27 06:05:00	2022-12-27 10:29:00	Los Angeles (LAX)	Detroit (DTW)	DL2683	588.91	1717.88	7473.91
2880	2022-12-26 23:40:00	2022-12-26 04:29:00	Nashville (BNA)	Los Angeles (LAX)	DL1227	519.39	1073.8	5560.33
2881	2023-01-02 23:42:00	2023-01-02 02:35:00	Washington (DCA)	Minneapolis (MSP)	DL2244	603.68	1875.36	5853.84
2882	2023-01-02 18:56:00	2023-01-02 21:17:00	Minneapolis (MSP)	Washington (DCA)	DL2244	551.19	3316.72	6937.69
2883	2023-01-02 15:02:00	2023-01-02 16:42:00	Chicago (ORD)	Minneapolis (MSP)	DL2953	382.26	984.78	3246.44
2884	2023-01-02 12:29:00	2023-01-02 14:02:00	Minneapolis (MSP)	Chicago (ORD)	DL2953	327.64	2486.9	6130.3
2885	2023-01-01 20:55:00	2023-01-01 01:17:00	Mexico City (MEX)	Minneapolis (MSP)	DL605	589.22	895.46	6331.84
2886	2023-01-01 14:57:00	2023-01-01 19:40:00	Minneapolis (MSP)	Mexico City (MEX)	DL611	336.59	2417.42	5731.55
2887	2022-12-31 20:55:00	2022-12-31 01:17:00	Mexico City (MEX)	Minneapolis (MSP)	DL605	498.57	3133.96	9626.45
2888	2022-12-31 14:57:00	2022-12-31 19:40:00	Minneapolis (MSP)	Mexico City (MEX)	DL611	583.47	3131.7	5155.89
2889	2022-12-31 10:40:00	2022-12-31 13:36:00	Raleigh-Durham (RDU)	Minneapolis (MSP)	DL2109	308.48	1541.86	7386.14
2890	2022-12-31 00:59:00	2022-12-31 02:43:00	Tampa (TPA)	Raleigh-Durham (RDU)	DL1134	534.33	3003.06	4828.97
2891	2022-12-30 22:00:00	2022-12-30 23:53:00	Raleigh-Durham (RDU)	Tampa (TPA)	DL498	608.06	2972.69	3742.48
2892	2022-12-30 17:00:00	2022-12-30 18:40:00	Orlando (MCO)	Raleigh-Durham (RDU)	DL2345	595.21	3047.62	6178.87
2893	2022-12-30 14:56:00	2022-12-30 16:00:00	Miami (MIA)	Orlando (MCO)	DL2516	462.76	2753.39	3338.13
2894	2022-12-30 12:20:00	2022-12-30 13:27:00	Orlando (MCO)	Miami (MIA)	DL1011	601.22	972.2	3133.28
2895	2022-12-30 00:20:00	2022-12-30 01:26:00	Miami (MIA)	Orlando (MCO)	DL2856	446.14	3272.34	6737.62
2896	2022-12-29 22:10:00	2022-12-29 23:15:00	Orlando (MCO)	Miami (MIA)	DL2882	631.64	1162.14	6905.47
2897	2022-12-29 19:25:00	2022-12-29 21:10:00	Raleigh-Durham (RDU)	Orlando (MCO)	DL2415	714.17	2934.51	9538.16
2898	2022-12-29 16:45:00	2022-12-29 18:25:00	Tampa (TPA)	Raleigh-Durham (RDU)	DL2833	590.68	3331.62	3791.17
2899	2022-12-29 12:35:00	2022-12-29 15:45:00	New York (JFK)	Tampa (TPA)	DL1385	253.3	2475.6	5795.94
2900	2022-12-29 00:45:00	2022-12-29 03:30:00	Tampa (TPA)	New York (JFK)	DL1605	711.31	2701.63	7190.39
2901	2022-12-28 20:26:00	2022-12-28 23:44:00	New York (JFK)	Tampa (TPA)	DL1605	502.23	1778.5	5006.74
2902	2022-12-28 16:45:00	2022-12-28 19:26:00	Tampa (TPA)	New York (JFK)	DL1131	605.64	3378.99	9437.61
2903	2022-12-28 13:50:00	2022-12-28 15:45:00	Raleigh-Durham (RDU)	Tampa (TPA)	DL2818	505.72	1259.55	5483.55
2904	2022-12-28 01:51:00	2022-12-28 04:25:00	Minneapolis (MSP)	Raleigh-Durham (RDU)	DL387	577.25	2747.42	3795.46
2905	2022-12-27 22:00:00	2022-12-27 00:38:00	Austin (AUS)	Minneapolis (MSP)	DL2482	374.03	3366.55	9088.6
2906	2022-12-27 16:55:00	2022-12-27 19:48:00	Salt Lake City (SLC)	Austin (AUS)	DL1694	614.71	1754.67	3930.52
2907	2022-12-27 14:00:00	2022-12-27 15:30:00	Jackson (JAC)	Salt Lake City (SLC)	DL1055	293.53	3139.9	3509.63
2908	2022-12-27 03:13:00	2022-12-27 04:29:00	Salt Lake City (SLC)	Jackson (JAC)	DL2269	427.44	1429.59	9262.99
2909	2022-12-27 00:52:00	2022-12-27 02:13:00	Jackson (JAC)	Salt Lake City (SLC)	DL2170	328.98	2735.45	6718.18
2910	2023-01-05 01:57:00	2023-01-05 04:10:00	Atlanta (ATL)	Houston (HOU)	DL2201	494.11	3423.58	7592.13
2911	2023-01-04 22:53:00	2023-01-04 00:17:00	Charleston (CHS)	Atlanta (ATL)	DL2628	368.15	2059.89	9861.07
2912	2023-01-04 20:34:00	2023-01-04 21:42:00	Atlanta (ATL)	Charleston (CHS)	DL2628	475.99	2384.65	9283.88
2913	2023-01-04 17:02:00	2023-01-04 19:16:00	San Antonio (SAT)	Atlanta (ATL)	DL1686	274.31	2873.03	8924.59
2914	2023-01-04 13:20:00	2023-01-04 16:02:00	Atlanta (ATL)	San Antonio (SAT)	DL1686	547.56	1719.78	5073.78
2915	2023-01-04 11:00:00	2023-01-04 12:15:00	Gainesville (GNV)	Atlanta (ATL)	DL2678	587.01	3425.9	3392.52
2916	2023-01-04 04:05:00	2023-01-04 05:11:00	Atlanta (ATL)	Gainesville (GNV)	DL1332	369.76	1631.53	8356.87
2917	2023-01-03 23:58:00	2023-01-03 02:44:00	Windsor Locks (BDL)	Atlanta (ATL)	DL2044	452.34	2640.37	5379.57
2918	2023-01-03 20:45:00	2023-01-03 22:58:00	Atlanta (ATL)	Windsor Locks (BDL)	DL2044	298.35	3175.74	3236.34
2919	2023-01-03 17:23:00	2023-01-03 19:20:00	Houston (IAH)	Atlanta (ATL)	DL1454	359	2002.17	9158.19
2920	2023-01-03 14:05:00	2023-01-03 16:23:00	Atlanta (ATL)	Houston (IAH)	DL1454	578.02	1854.66	5204.55
2921	2023-01-03 11:00:00	2023-01-03 12:54:00	Washington (IAD)	Atlanta (ATL)	DL1242	570.24	2700.55	9819.75
2922	2023-01-03 03:30:00	2023-01-03 05:08:00	Atlanta (ATL)	Washington (IAD)	DL800	605.03	3473.17	5550.62
2923	2023-01-03 00:11:00	2023-01-03 02:13:00	Milwaukee (MKE)	Atlanta (ATL)	DL2119	312.75	3329.03	7682.76
2924	2023-01-02 21:10:00	2023-01-02 23:11:00	Atlanta (ATL)	Milwaukee (MKE)	DL2119	554.18	752.34	7824.44
2925	2023-01-02 16:52:00	2023-01-02 18:59:00	Austin (AUS)	Atlanta (ATL)	DL2725	334.33	2527.47	6118.49
2926	2023-01-02 13:20:00	2023-01-02 15:52:00	Atlanta (ATL)	Austin (AUS)	DL2725	504.55	967.01	7521.9
2927	2023-01-01 19:14:00	2023-01-01 21:47:00	Rochester (ROC)	Atlanta (ATL)	DL2702	327.78	913.23	9140.11
2928	2023-01-01 16:05:00	2023-01-01 18:10:00	Atlanta (ATL)	Rochester (ROC)	DL2702	424.42	2908.01	8049.29
2929	2023-01-01 12:02:00	2023-01-01 14:00:00	Houston (HOU)	Atlanta (ATL)	DL2808	727.61	2133.25	8302.15
2930	2023-01-01 01:57:00	2023-01-01 04:10:00	Atlanta (ATL)	Houston (HOU)	DL2201	508.29	3484.92	3127.88
2931	2022-12-31 18:50:00	2022-12-31 21:53:00	Boston (BOS)	Atlanta (ATL)	DL496	260.17	862.29	3955.31
2932	2022-12-31 15:07:00	2022-12-31 17:39:00	Atlanta (ATL)	Boston (BOS)	DL570	622.98	1073.82	7821.81
2933	2022-12-31 11:30:00	2022-12-31 13:08:00	St. Louis (STL)	Atlanta (ATL)	DL1129	434.66	1176.97	9010.62
2934	2022-12-31 03:59:00	2022-12-31 05:44:00	Atlanta (ATL)	St. Louis (STL)	DL1140	713.29	1953.88	7377.71
2935	2022-12-31 00:11:00	2022-12-31 02:13:00	Milwaukee (MKE)	Atlanta (ATL)	DL2119	597.63	1832.52	7725.36
2936	2022-12-30 21:10:00	2022-12-30 23:11:00	Atlanta (ATL)	Milwaukee (MKE)	DL2119	496.24	2193.75	8583.72
2937	2022-12-30 17:12:00	2022-12-30 19:05:00	Milwaukee (MKE)	Atlanta (ATL)	DL945	669.08	3272.33	6936.88
2938	2022-12-30 14:09:00	2022-12-30 16:12:00	Atlanta (ATL)	Milwaukee (MKE)	DL945	615.03	2171.89	4412.83
2939	2022-12-30 11:00:00	2022-12-30 12:54:00	Washington (IAD)	Atlanta (ATL)	DL1242	297.87	1870.22	7890.3
2940	2022-12-30 03:25:00	2022-12-30 05:03:00	Atlanta (ATL)	Washington (IAD)	DL800	598.71	1084.26	7267.84
2941	2022-12-30 00:11:00	2022-12-30 02:13:00	Milwaukee (MKE)	Atlanta (ATL)	DL2119	704.97	2660.87	3887.73
2942	2022-12-29 21:10:00	2022-12-29 23:11:00	Atlanta (ATL)	Milwaukee (MKE)	DL2119	699.41	3267.86	9702.09
2943	2022-12-29 18:05:00	2022-12-29 20:02:00	Washington (DCA)	Atlanta (ATL)	DL306	304.65	1617.49	7992.99
